Rank,Name,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2023 (€),Revenue 2020 (€),Number of employees 2023,Number of employees 2020,Founding year
120,Zappyrent,Italy,IT & Software,"1,271.2",139.4,"1,810,000","132,000",34,9,2019
121,RoomPriceGenie,Switzerland,IT & Software,"1,270.5",139.3,"3,748,017","234,897",69,24,2019
122,FinStart,France,Management consulting,"1,266",139,"8,663,629","634,223",15,3,2020
123,REGION10 GROUP,Germany,"Professional, Scientific & Technical Services","1,258.8",138.6,"1,619,755","119,203",14,2,2017
124,Binalyze,Estonia,IT & Software,"1,231.4",137,"1,502,182","112,828",80,9,2018
125,Apricus Solar,Germany,Energy & Utilities,"1,228.2",136.8,"16,585,387","1,248,682",32,8,2014
126,Löwenanteil,Germany,Ecommerce,"1,212.8",135.9,"21,001,640","1,599,803",25,4,2017
127,Cashback XL,Netherlands,Advertising & Marketing,"1,210.4",135.8,"18,620,276","1,421,000",4,2,2013
128,Go4Sea,Italy,Hospitality & Travel,"1,208.5",135.6,"7,344,479","561,297",17,12,2013
129,Route220,Italy,IT & Software,"1,188.7",134.5,"5,571,000","432,300",22,12,2014
130,IoT Venture,Germany,IT & Software,"1,175.2",133.6,"16,200,000","1,270,415",48,23,2016
131,Moonwards,Germany,Ecommerce,"1,166.1",133.1,"3,008,396","237,611",3,2,2018
132,XAAS,Germany,IT & Software,"1,162.7",132.9,"8,792,000","696,307",17,8,2011
133,Rite NRG,Poland,IT & Software,"1,155.8",132.4,"3,373,428","255,580",72,11,2017
134,SO FAST SO GOOD,France,Food & Beverages,"1,155.6",132.4,"6,729,600","535,969",72,39,2015
135,Gaia,UK,IT & Software,"1,155",132.4,"3,176,272","245,167",30,5,2017
136,Inex One,Sweden,"Professional, Scientific & Technical Services","1,154.3",132.3,"5,455,536","481,967",17,14,2018
137,Mawave Marketing,Germany,Advertising & Marketing,"1,152.4",132.2,"6,527,360","521,170",98,16,2018
138,Proxify,Sweden,"Professional, Scientific & Technical Services","1,144.5",131.7,"36,563,657","3,255,570",145,15,2018
139,The Pantheon Iconic Rome Hotel,Italy,Hospitality & Travel,"1,143.7",131.7,"16,885,118","1,357,663",66,63,2016
140,Novibet,Malta,Leisure & Entertainment,"1,143.1",131.7,"173,890,506","13,988,595",884,338,2016
141,My American Shop,Belgium,Ecommerce,"1,139.5",131.4,"10,897,046","879,158",23,1,2020
142,Acteam Enr,France,Energy & Utilities,"1,133.4",131,"26,316,627","2,133,691",33,6,2012
143,Russo Casa,Italy,Construction & Engineering,"1,132.8",131,"1,652,058","134,011",5,1,2018
144,Mia Burton,Italy,Ecommerce,"1,126.8",130.6,"7,453,310","607,522",24,26,2019
145,Seals Group,Germany,"Professional, Scientific & Technical Services","1,125",130.5,"3,949,568","322,425",35,3,2020
146,NextCom,Greece,IT & Software,"1,120.6",130.2,"16,339,328","1,338,643",48,11,2000
147,Bears with Benefits,Germany,Pharmaceuticals & Cosmetics,"1,092.9",128.5,"31,044,809","2,602,468",45,6,2018
148,INNOVO,UK,Energy & Utilities,"1,081.3",127.7,"6,785,233","556,423",2,2,2016
149,AMPECO,Bulgaria,IT & Software,"1,075.7",127.4,"3,684,881","313,422",92,11,2018
150,Wafflemeister,UK,Food & Beverages,"1,075.3",127.4,"12,157,090","1,002,014",18,20,2017
151,PhotoAid,Poland,IT & Software,"1,071.9",127.1,"8,914,001","723,673",12,5,2012
152,alerabat.com,Poland,Advertising & Marketing,"1,067.3",126.8,"19,829,328","1,616,164",39,32,2015
153,GreenFeedCycles,Italy,Wholesale,"1,060.1",126.4,"14,407,072","1,241,858",4,1,2019
154,Labs2Life SrL,Italy,Construction & Engineering,"1,058.5",126.3,"1,560,000","134,654",4,3,2020
155,54,UK,Advertising & Marketing,"1,055.6",126.1,"179,932,498","15,084,275",90,25,2015
156,Sensoneo,Slovakia,Waste Management & recycling,"1,047",125.5,"8,531,937","743,826",108,29,2017
157,Love Finance,UK,"Fintech, Financial Services & Insurance","1,036",124.8,"5,477,483","467,083",43,7,2012
158,Silverstream Technologies,UK,"Professional, Scientific & Technical Services","1,032.7",124.6,"59,316,301","5,236,687",135,27,2012
159,AssiBro - Broker di Assicurazioni,Italy,"Fintech, Financial Services & Insurance","1,018.1",123.6,"1,501,250","134,269",17,4,2019
160,Xceed,Italy,Leisure & Entertainment,"1,014.1",123.3,"3,462,645","310,790",25,12,2014
161,Chāmpo,UK,Retail,"1,008.5",123,"16,212,325","1,416,792",8,2,2019
162,VencoTec Solar,Germany,Energy & Utilities,"1,003.5",122.6,"5,510,092","499,349",35,1,2009
163,Globalis Viagens e Eventos Corporativos,Portugal,Hospitality & Travel,997.8,122.3,"23,198,154","2,113,061",22,19,2015
164,Wingstop UK,UK,Hospitality & Travel,993.3,121.9,"97,379,237","8,628,104","2,000",800,2017
